shipment_id,disaster_id,disaster_type,item_id,item_name,category,subcategory,quantity_requested,quantity_shipped,quantity_received,warehouse,region,ship_date,arrival_date,transport_mode,supplier,unit_cost,total_cost,delay_days,shortage_flag,MyUnknownColumn,lead_time_days,delay_flag,cost_per_unit,anomaly_flag
SHP0055,DR-4339,Hurricane,1007,Water Purifiers,Food & Water,Beverage,900,880,860,ATLANTA,Region IV,10/9/2017,10/12/2017,Truck,Blueriver logistics,15,13200,3,1,,3,1,15,0
SHP0056,DR-4339,Hurricane,2009,Meal Supplements,Food & Water,Meal,2800,2750,2700,ATLANTA,Region IV,10/10/2017,10/12/2017,Truck,Blueriver logistics,1.5,4125,3,1,,2,1,1.5,0
SHP0057,DR-4339,Hurricane,3008,Storm Shelters,Shelter,Protection,600,580,570,DALLAS,Region VI,10/10/2017,10/15/2017,Truck,Safecover inc,45,26100,5,1,,5,1,45,0
SHP0058,DR-4339,Hurricane,4007,Solar Panels,Power,Equipment,300,290,280,DALLAS,Region VI,10/11/2017,10/16/2017,Truck,Powergrid supply,80,23200,6,1,,5,1,80,0
SHP0059,DR-4339,Hurricane,5008,Wool Blankets,Shelter,Warmth,3200,3200,3180,ATLANTA,Region IV,10/11/2017,10/14/2017,Truck,Comfortco,10,32000,3,1,,3,1,10,0
SHP0060,DR-4339,Hurricane,6007,Baby Bottles,Medical,Infant Care,2000,1950,1900,ATLANTA,Region IV,10/12/2017,10/15/2017,Truck,Careplus supply,0.8,1560,4,1,,3,1,0.8,0
SHP0061,DR-4339,Hurricane,7007,Medical Tweezers,Medical,Emergency,1500,1500,1480,DALLAS,Region VI,10/12/2017,10/15/2017,Truck,Medrelief inc,0.3,450,3,1,,3,1,0.3,0
SHP0062,DR-4339,Hurricane,8007,Portable Lamps,Power,Lighting,1700,1680,1650,DALLAS,Region VI,10/13/2017,10/17/2017,Truck,Powergrid supply,7,11760,5,1,,4,1,7,0
SHP0063,DR-4339,Hurricane,9007,Heavy Cables,Power,Accessories,1300,1280,1250,ATLANTA,Region IV,10/13/2017,10/16/2017,Truck,Powergrid supply,6,7680,3,1,,3,1,6,0
SHP0064,DR-4339,Hurricane,1008,Water Storage Bags,Food & Water,Beverage,1600,1580,1550,ATLANTA,Region IV,10/14/2017,10/16/2017,Truck,Blueriver logistics,4,6320,3,1,,2,1,4,0
SHP0065,DR-4339,Hurricane,2010,Meal Containers,Food & Water,Meal,2600,2550,2500,ATLANTA,Region IV,10/14/2017,10/17/2017,Truck,Blueriver logistics,0.7,1785,3,1,,3,1,0.7,0
SHP0066,DR-4339,Hurricane,3009,Wind Barriers,Shelter,Protection,700,680,670,DALLAS,Region VI,10/15/2017,10/19/2017,Truck,Safecover inc,20,13600,5,1,,4,1,20,0
SHP0067,DR-4339,Hurricane,4008,Backup Batteries,Power,Equipment,900,880,860,DALLAS,Region VI,10/15/2017,10/21/2017,Truck,Powergrid supply,25,22000,6,1,,6,1,25,0
SHP0068,DR-4339,Hurricane,5009,Insulated Gloves,Shelter,Warmth,2400,2400,2380,ATLANTA,Region IV,10/16/2017,10/18/2017,Truck,Comfortco,5,12000,3,1,,2,1,5,0
SHP0069,DR-4339,Hurricane,6008,Infant Towels,Medical,Infant Care,1800,1750,1700,ATLANTA,Region IV,10/16/2017,10/20/2017,Truck,Careplus supply,0.4,700,4,1,,4,1,0.4,0
SHP0070,DR-4339,Hurricane,7008,Medical Kits,Medical,Emergency,2200,2200,2180,DALLAS,Region VI,10/17/2017,10/19/2017,Truck,Medrelief inc,3,6600,3,1,,2,1,3,0
SHP0071,DR-4339,Hurricane,8008,LED Torches,Power,Lighting,1300,1280,1250,DALLAS,Region VI,10/17/2017,10/22/2017,Truck,Powergrid supply,6,7680,5,1,,5,1,6,0
SHP0072,DR-4339,Hurricane,9008,Power Cables,Power,Accessories,1700,1680,1650,ATLANTA,Region IV,10/18/2017,10/20/2017,Truck,Powergrid supply,4,6720,3,1,,2,1,4,0
SHP0073,DR-4339,Hurricane,1009,Water Drums,Food & Water,Beverage,500,480,470,ATLANTA,Region IV,10/18/2017,10/23/2017,Truck,Blueriver logistics,30,14400,5,1,,5,1,30,0
SHP0074,DR-4339,Hurricane,2011,Meal Kits Deluxe,Food & Water,Meal,3000,2950,2900,ATLANTA,Region IV,10/19/2017,10/21/2017,Truck,Blueriver logistics,2,5900,3,1,,2,1,2,0
SHP0075,DR-4339,Hurricane,3010,Storm Shelters Pro,Shelter,Protection,400,380,370,DALLAS,Region VI,10/19/2017,10/24/2017,Truck,Safecover inc,60,22800,5,1,,5,1,60,0
SHP0076,DR-4339,Hurricane,4009,Portable Batteries,Power,Equipment,700,680,660,DALLAS,Region VI,10/20/2017,10/25/2017,Truck,Powergrid supply,18,12240,6,1,,5,1,18,0
SHP0077,DR-4339,Hurricane,5010,Thermal Socks,Shelter,Warmth,2600,2600,2580,ATLANTA,Region IV,10/20/2017,10/23/2017,Truck,Comfortco,3,7800,3,1,,3,1,3,0
SHP0078,DR-4339,Hurricane,6009,Infant Blankets,Medical,Infant Care,1400,1380,1350,ATLANTA,Region IV,10/21/2017,10/24/2017,Truck,Careplus supply,1,1380,4,1,,3,1,1,0
SHP0079,DR-4339,Hurricane,7009,Medical Wraps,Medical,Emergency,2800,2800,2780,DALLAS,Region VI,10/21/2017,10/24/2017,Truck,Medrelief inc,0.2,560,3,1,,3,1,0.2,0
SHP0080,DR-4339,Hurricane,8009,LED Spotlights,Power,Lighting,1600,1580,1550,DALLAS,Region VI,10/22/2017,10/26/2017,Truck,Powergrid supply,11,17380,5,1,,4,1,11,0
SHP0081,DR-4339,Hurricane,9009,Power Connectors,Power,Accessories,1400,1380,1350,ATLANTA,Region IV,10/22/2017,10/25/2017,Truck,Powergrid supply,5,6900,3,1,,3,1,5,0
SHP0082,DR-4339,Hurricane,1010,Water Barrels,Food & Water,Beverage,700,680,670,ATLANTA,Region IV,10/23/2017,10/25/2017,Truck,Blueriver logistics,20,13600,3,1,,2,1,20,0
SHP0083,DR-4339,Hurricane,2012,Meal Packs Premium,Food & Water,Meal,3200,3150,3100,ATLANTA,Region IV,10/23/2017,10/26/2017,Truck,Blueriver logistics,2.5,7875,3,1,,3,1,2.5,0
SHP0084,DR-4339,Hurricane,3011,Storm Barriers,Shelter,Protection,900,880,870,DALLAS,Region VI,10/24/2017,10/28/2017,Truck,Safecover inc,22,19360,5,1,,4,1,22,0
SHP0085,DR-4339,Hurricane,4010,Portable Power Units,Power,Equipment,500,480,470,DALLAS,Region VI,10/24/2017,10/30/2017,Truck,Powergrid supply,100,48000,6,1,,6,1,100,0
SHP0086,DR-4339,Hurricane,5011,Thermal Scarves,Shelter,Warmth,3000,3000,2980,ATLANTA,Region IV,10/25/2017,10/27/2017,Truck,Comfortco,4,12000,3,1,,2,1,4,0
SHP0087,DR-4339,Hurricane,6010,Infant Kits Deluxe,Medical,Infant Care,1000,980,960,ATLANTA,Region IV,10/25/2017,10/29/2017,Truck,Careplus supply,3.5,3430,4,1,,4,1,3.5,0
SHP0088,DR-4339,Hurricane,7010,Medical Gauze,Medical,Emergency,3500,3500,3480,DALLAS,Region VI,10/26/2017,10/28/2017,Truck,Medrelief inc,0.1,350,3,1,,2,1,0.1,0
SHP0089,DR-4339,Hurricane,8010,LED Panels,Power,Lighting,1800,1780,1750,DALLAS,Region VI,10/26/2017,10/31/2017,Truck,Powergrid supply,14,24920,5,1,,5,1,14,0
SHP0090,DR-4339,Hurricane,9010,Power Switches,Power,Accessories,1600,1580,1550,ATLANTA,Region IV,10/27/2017,10/29/2017,Truck,Powergrid supply,4,6320,3,1,,2,1,4,0
SHP0091,DR-4339,Hurricane,1011,Water Carriers,Food & Water,Beverage,900,880,870,ATLANTA,Region IV,10/27/2017,10/30/2017,Truck,Blueriver logistics,12,10560,3,1,,3,1,12,0
SHP0092,DR-4339,Hurricane,2013,Meal Packs Ultra,Food & Water,Meal,3400,3350,3300,ATLANTA,Region IV,10/28/2017,10/30/2017,Truck,Blueriver logistics,3,10050,3,1,,2,1,3,0
SHP0093,DR-4339,Hurricane,3012,Storm Shields,Shelter,Protection,1000,980,960,DALLAS,Region VI,10/28/2017,11/2/2017,Truck,Safecover inc,30,29400,5,1,,5,1,30,0
SHP0094,DR-4339,Hurricane,4011,Portable Generators Pro,Power,Equipment,200,190,185,DALLAS,Region VI,10/29/2017,11/3/2017,Truck,Powergrid supply,550,104500,6,1,,5,1,550,0
SHP0095,DR-4339,Hurricane,5012,Thermal Boots,Shelter,Warmth,2800,2800,2780,ATLANTA,Region IV,10/29/2017,11/1/2017,Truck,Comfortco,25,70000,3,1,,3,1,25,0
SHP0096,DR-4339,Hurricane,6011,Infant Medical Kits,Medical,Infant Care,1100,1080,1060,ATLANTA,Region IV,10/30/2017,11/2/2017,Truck,Careplus supply,4,4320,4,1,,3,1,4,0
SHP0097,DR-4339,Hurricane,7011,Medical Gloves Pro,Medical,Emergency,4000,4000,3980,DALLAS,Region VI,10/30/2017,11/2/2017,Truck,Medrelief inc,0.15,600,3,1,,3,1,0.15,0
SHP0098,DR-4339,Hurricane,8011,LED Emergency Panels,Power,Lighting,2000,1980,1950,DALLAS,Region VI,10/31/2017,11/4/2017,Truck,Powergrid supply,16,31680,5,1,,4,1,16,0
SHP0099,DR-4339,Hurricane,9011,Power Surge Protectors,Power,Accessories,1800,1780,1750,ATLANTA,Region IV,10/31/2017,11/3/2017,Truck,Powergrid supply,7,12460,3,1,,3,1,7,0
SHP0100,DR-4339,Hurricane,1012,Water Storage Tanks,Food & Water,Beverage,600,580,570,ATLANTA,Region IV,11/1/2017,11/3/2017,Truck,Blueriver logistics,35,20300,3,1,,2,1,35,0
SHP0101,DR-4339,Hurricane,1013,Water Barrels Pro,Food & Water,Beverage,750,730,720,ATLANTA,Region IV,11/1/2017,11/4/2017,Truck,Blueriver logistics,22,16060,3,1,,3,1,22,0
SHP0102,DR-4339,Hurricane,2014,Meal Packs Extreme,Food & Water,Meal,3600,3550,3500,ATLANTA,Region IV,11/2/2017,11/4/2017,Truck,Blueriver logistics,3.2,11360,3,1,,2,1,3.2,0
SHP0103,DR-4339,Hurricane,3013,Storm Shelters Ultra,Shelter,Protection,450,430,420,DALLAS,Region VI,11/2/2017,11/7/2017,Truck,Safecover inc,65,27950,5,1,,5,1,65,0
SHP0104,DR-4339,Hurricane,4012,Portable Power Units Pro,Power,Equipment,550,530,520,DALLAS,Region VI,11/3/2017,11/8/2017,Truck,Powergrid supply,110,58300,6,1,,5,1,110,0
SHP0105,DR-4339,Hurricane,5013,Thermal Pants,Shelter,Warmth,3000,3000,2980,ATLANTA,Region IV,11/3/2017,11/6/2017,Truck,Comfortco,12,36000,3,1,,3,1,12,0
SHP0106,DR-4339,Hurricane,6012,Infant Medical Kits Pro,Medical,Infant Care,1200,1180,1160,ATLANTA,Region IV,11/4/2017,11/7/2017,Truck,Careplus supply,4.5,5310,4,1,,3,1,4.5,0
SHP0107,DR-4339,Hurricane,7012,Medical Gloves Ultra,Medical,Emergency,4200,4200,4180,DALLAS,Region VI,11/4/2017,11/7/2017,Truck,Medrelief inc,0.2,840,3,1,,3,1,0.2,0
SHP0108,DR-4339,Hurricane,8012,LED Emergency Panels Pro,Power,Lighting,2100,2080,2050,DALLAS,Region VI,11/5/2017,11/9/2017,Truck,Powergrid supply,18,37440,5,1,,4,1,18,0
SHP0109,DR-4339,Hurricane,9012,Power Surge Protectors Pro,Power,Accessories,1900,1880,1850,ATLANTA,Region IV,11/5/2017,11/8/2017,Truck,Powergrid supply,8,15040,3,1,,3,1,8,0
SHP0110,DR-4339,Hurricane,1014,Water Storage Tanks Pro,Food & Water,Beverage,650,630,620,ATLANTA,Region IV,11/6/2017,11/8/2017,Truck,Blueriver logistics,40,25200,3,1,,2,1,40,0
SHP0111,DR-4339,Hurricane,2015,Meal Packs Elite,Food & Water,Meal,3500,3450,3400,ATLANTA,Region IV,11/6/2017,11/9/2017,Truck,Blueriver logistics,3.5,12075,3,1,,3,1,3.5,0
SHP0112,DR-4339,Hurricane,3014,Storm Shields Pro,Shelter,Protection,1100,1080,1060,DALLAS,Region VI,11/7/2017,11/11/2017,Truck,Safecover inc,35,37800,5,1,,4,1,35,0
SHP0113,DR-4339,Hurricane,4013,Portable Generators Elite,Power,Equipment,220,210,205,DALLAS,Region VI,11/7/2017,11/13/2017,Truck,Powergrid supply,600,126000,6,1,,6,1,600,0
SHP0114,DR-4339,Hurricane,5014,Thermal Jackets Pro,Shelter,Warmth,2900,2900,2880,ATLANTA,Region IV,11/8/2017,11/10/2017,Truck,Comfortco,30,87000,3,1,,2,1,30,0
SHP0115,DR-4339,Hurricane,6013,Infant Kits Ultra,Medical,Infant Care,1300,1280,1260,ATLANTA,Region IV,11/8/2017,11/12/2017,Truck,Careplus supply,5,6400,4,1,,4,1,5,0
SHP0116,DR-4339,Hurricane,7013,Medical Gauze Pro,Medical,Emergency,3600,3600,3580,DALLAS,Region VI,11/9/2017,11/11/2017,Truck,Medrelief inc,0.12,432,3,1,,2,1,0.12,0
SHP0117,DR-4339,Hurricane,8013,LED Panels Ultra,Power,Lighting,1900,1880,1850,DALLAS,Region VI,11/9/2017,11/14/2017,Truck,Powergrid supply,15,28200,5,1,,5,1,15,0
SHP0118,DR-4339,Hurricane,9013,Power Switches Pro,Power,Accessories,1700,1680,1650,ATLANTA,Region IV,11/10/2017,11/12/2017,Truck,Powergrid supply,5,8400,3,1,,2,1,5,0
SHP0119,DR-4339,Hurricane,1015,Water Carriers Pro,Food & Water,Beverage,950,930,920,ATLANTA,Region IV,11/10/2017,11/13/2017,Truck,Blueriver logistics,14,13020,3,1,,3,1,14,0
SHP0120,DR-4339,Hurricane,2016,Meal Packs Supreme,Food & Water,Meal,3600,3550,3500,ATLANTA,Region IV,11/11/2017,11/13/2017,Truck,Blueriver logistics,4,14200,3,1,,2,1,4,0
SHP0121,DR-4339,Hurricane,3015,Storm Barriers Pro,Shelter,Protection,950,930,920,DALLAS,Region VI,11/11/2017,11/16/2017,Truck,Safecover inc,24,22320,5,1,,5,1,24,0
SHP0122,DR-4339,Hurricane,4014,Portable Power Units Ultra,Power,Equipment,520,500,490,DALLAS,Region VI,11/12/2017,11/17/2017,Truck,Powergrid supply,120,60000,6,1,,5,1,120,0
SHP0123,DR-4339,Hurricane,5015,Thermal Gloves Pro,Shelter,Warmth,3100,3100,3080,ATLANTA,Region IV,11/12/2017,11/15/2017,Truck,Comfortco,6,18600,3,1,,3,1,6,0
SHP0124,DR-4339,Hurricane,6014,Infant Towels Pro,Medical,Infant Care,1500,1480,1460,ATLANTA,Region IV,11/13/2017,11/16/2017,Truck,Careplus supply,0.5,740,4,1,,3,1,0.5,0
SHP0125,DR-4339,Hurricane,7014,Medical Wraps Pro,Medical,Emergency,2900,2900,2880,DALLAS,Region VI,11/13/2017,11/16/2017,Truck,Medrelief inc,0.25,725,3,1,,3,1,0.25,0
SHP0126,DR-4339,Hurricane,8014,LED Spotlights Pro,Power,Lighting,1700,1680,1650,DALLAS,Region VI,11/14/2017,11/18/2017,Truck,Powergrid supply,12,20160,5,1,,4,1,12,0
SHP0127,DR-4339,Hurricane,9014,Power Connectors Pro,Power,Accessories,1500,1480,1460,ATLANTA,Region IV,11/14/2017,11/17/2017,Truck,Powergrid supply,6,8880,3,1,,3,1,6,0
SHP0128,DR-4339,Hurricane,1016,Water Barrels Ultra,Food & Water,Beverage,800,780,770,ATLANTA,Region IV,11/15/2017,11/17/2017,Truck,Blueriver logistics,25,19500,3,1,,2,1,25,0
SHP0129,DR-4339,Hurricane,2017,Meal Packs Hyper,Food & Water,Meal,3800,3750,3700,ATLANTA,Region IV,11/15/2017,11/18/2017,Truck,Blueriver logistics,4.5,16875,3,1,,3,1,4.5,0
SHP0130,DR-4339,Hurricane,3016,Storm Shields Ultra,Shelter,Protection,1200,1180,1160,DALLAS,Region VI,11/16/2017,11/20/2017,Truck,Safecover inc,38,44840,5,1,,4,1,38,0
SHP0131,DR-4339,Hurricane,4015,Portable Generators Ultra,Power,Equipment,240,230,225,DALLAS,Region VI,11/16/2017,11/22/2017,Truck,Powergrid supply,650,149500,6,1,,6,1,650,0
SHP0132,DR-4339,Hurricane,5016,Thermal Coats Pro,Shelter,Warmth,3000,3000,2980,ATLANTA,Region IV,11/17/2017,11/19/2017,Truck,Comfortco,35,105000,3,1,,2,1,35,0
